S_No,PaperID,Title,TR ,Volumes,ScanTime(Min.Sec),EyeStatus,MFStrength,NumHealthy(M),NumHealthy(F),NumASD(M),NumASD(F),NumAutistic,NumHighFunctioning,LanguageImpaired,NumAspergsr's,NumPDD-NOS,AgeRangeHealthyMean,AgeRangeHealthyStd,AgeRangeASDMean,AgeRangeASDStd,AgeRangeAutistic,AgeRangeAspergsr's,AgeRangePDD-NOS,FIQMean_ASD,FIQStd_ASD,FIQMean_TD,FIQStd_TD,BandpassRangeHighpass(Hz),BandpassRangeLowpass(Hz),Smoothing(fwhm)mm,GSR,CSF,WM,Motion Params,Age,Scrubbing,GCOR,aCOMPCor,Cardiac and respiratory signals regression,Despiking,SeedName,SeedMNI,UnderConnectivityName,UnderConnectivityMNI,OverConnectivityName,OverConnectivityMNI,Notes,Tool,Scanner,DSM,ROIxROI,ROIxVoxels,Participants,Medication,Comorbidities,FIQ >,Over(1) /Under(-1) / Both (0),Summary,Bibtex Citation,IQ Notes
1,1,"Hogeveen, J., Krug, M. K., Elliott, M. V., & Solomon, M. (2018). Insula-Retrosplenial Cortex Overconnectivity Increases Internalizing via Reduced Insight in Autism. Biological Psychiatry, (15), 1–8. https://doi.org/10.1016/j.biopsych.2018.01.015",2000,,5.4,Open,3,43,10,43,6,,,,,,16.8,2.95,17.39,3.1,,,,103.65,14.46,108.81,10.76,0.01,0.1,6,,,,,,1,1,aCOMPCor,,1,Left anterior insula (LH_aINS),-40 14 -6,,,left retrosplenial cortex (LH_RSP),-8 -46 4,"Preprocessing details in supplementary, Couldnot find coordinates, GCOR was included as nuisance variable to compensate for the motion in group contrasts. (FSIQ)>70 .  group differences in functional connectivity observed in the current study remained significant whether or not the average global correlation regressor was modeled. MNI coordinates of all the written regions are asked from authors","CONN 17, SPM 12", Siemens Tim Trio system,5,1,,Original,None - Ten participants in the ASD group were taking prescribed psychostimulants but refrained from taking medica- tions for $48 hours in advance of their MRI,None,70,1,"Hogeveen et al. annalyzed the resting state functional connectivity between 3 important brain networks - Default mode network(DMN), Sailence networ (SN) and frontoparietal network (FPN). They took an atlas having 400 parcellations which was segmented into seven functional netwoks. The ROIx x ROI analysis was  done with the ROIs that lie in the 3 networks under study. Between group analysis yielded SN-DMN overconnectivity in ASD.","@article{hogeveen2018insula,
  title={Insula-Retrosplenial Cortex Overconnectivity Increases Internalizing via Reduced Insight in Autism},
  author={Hogeveen, Jeremy and Krug, Marie K and Elliott, Matthew V and Solomon, Marjorie},
  journal={Biological psychiatry},
  year={2018},
  publisher={Elsevier}
}",
2,1,,2000,,5.4,Open,3,43,10,43,6,,,,,,16.8,2.95,17.39,3.1,,,,103.65,14.46,108.81,10.76,0.01,0.1,6,,,,,,1,1,aCOMPCor,,1,right anterior insula (RH_aINS),34 18 -8,,,left frontal pole (LH_FP),-30 58 16,,,,,,,,,,,,,,
3,1,,2000,,5.4,Open,3,43,10,43,6,,,,,,16.8,2.95,17.39,3.1,,,,103.65,14.46,108.81,10.76,0.01,0.1,6,,,,,,1,1,aCOMPCor,,1,right dorsolateral prefrontal cortex (RH_dlPFC), 44 35 35,,,left retrosplenial cortex (LH_RSP),-8 -46 4,,,,,,,,,,,,,,
4,2,"Tomasi, D., & Volkow, N. D. (2017). Reduced Local and Increased Long-Range Functional Connectivity of the Thalamus in Autism Spectrum Disorder. Cerebral Cortex.",ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4,1,1,1,1,,1,,,,,Thalamus,-6 -12 9,,,Middle temporal,-60 -15 6,,SPM8,,"4,5",,1,ABIDE I and II,,,-,,"Tomasi et al. analyzed the thalamus in the combined ABIDE I and II dataset. They looked at how the long range and short range connectivity differs between ASD and TD. For long range connectivity they used the traditional FC measure and for short range they used local functional connectivity density measure. For long range connectivity difference they did the seed x voxel FC analysis to find out incereased connectivity in ASD as compared to TD between thalamus and the regions involved in social congnition such as insula, auditory, somatosensory areas etc.","@article{tomasi2017reduced,
  title={Reduced Local and Increased Long-Range Functional Connectivity of the Thalamus in Autism Spectrum Disorder},
  author={Tomasi, Dardo and Volkow, Nora D},
  journal={Cerebral Cortex},
  year={2017}
}",
5,2,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4,1,1,1,1,,1,,,,,Thalamus,-6 -12 9,,,Middle temporal,-63 -27 3,,,,,,,,,,,,,,
6,2,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4,1,1,1,1,,1,,,,,Thalamus,-6 -12 9,,,Postcentral,-51 -24 54,,,,,,,,,,,,,,
7,2,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4,1,1,1,1,,1,,,,,Thalamus,-6 -12 9,,,Middle cingulum,3 -12 51,,,,,,,,,,,,,,
8,2,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4,1,1,1,1,,1,,,,,Thalamus,-6 -12 9,,,Suppl motor area,-6 -18 63,,,,,,,,,,,,,,
9,2,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4,1,1,1,1,,1,,,,,Thalamus,-6 -12 9,,,Postcentral,51 -18 42,,,,,,,,,,,,,,
10,2,,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4,1,1,1,1,,1,,,,,Thalamus,-6 -12 9,,,Insula,36 -27 18,,,,,,,,,,,,,,
