,Unnamed: 0,TR ,Volumes,ScanTime(Min.Sec),EyeStatus,MFStrength,NumHealthy(M),NumHealthy(F),NumASD(M),NumASD(F),NumAutistic,NumHighFunctioning,LanguageImpaired,NumAspergsr's,NumPDD-NOS,AgeRangeHealthyMean,AgeRangeHealthyStd,AgeRangeASDMean,AgeRangeASDStd,AgeRangeAutistic,AgeRangeAspergsr's,AgeRangePDD-NOS,FIQMean_ASD,FIQStd_ASD,FIQMean_TD,FIQStd_TD,BandpassRangeHighpass(Hz),BandpassRangeLowpass(Hz),Smoothing(fwhm)mm,GSR,CSF,WM,Motion Params,Age,Scrubbing,GCOR,aCOMPCor,Cardiac and respiratory signals regression,Despiking,S_No,PaperID,SeedHemisphere,SeedLobe,SeedGyrus,SeedNameBN,SeedNameHO,SeedNameJuliech,SeedName,Seed_X,Seed_Y,Seed_Z,ConnectivityHemisphere,ConnectivityLobe,ConnectivityGyrus,ConnectivityNameBN,ConnectivityNameHO,ConnectivityNameJuliech,ConnectivityName,Connectivity_X,Connectivity_Y,connectivity_Z,Under(-1)/Over(1)Connectivity
0,0,2000,,5.4,Open,3,43,10,43,6,,,,,,16.8,2.95,17.39,3.1,,,,103.65,14.46,108.81,10.76,0.01,0.1,6.0,,,,,,1.0,1,aCOMPCor,,1.0,1,1.0,L,Insular Lobe,"INS, Insular Gyrus","INS_dIa, dorsal agranular insula",Insular Cortex,GM Broca's area BA45 L,Left anterior insula (LH_aINS),-40,14,-6,L,Limbic Lobe,"CG, Cingulate Gyrus","CG_A23v, ventral area 23","Cingulate Gyrus, posterior division",GM Hippocampus subiculum L,left retrosplenial cortex (LH_RSP),-8,-46,4,1
1,0,2000,,5.4,Open,3,43,10,43,6,,,,,,16.8,2.95,17.39,3.1,,,,103.65,14.46,108.81,10.76,0.01,0.1,6.0,,,,,,1.0,1,aCOMPCor,,1.0,2,1.0,R,Insular Lobe,"INS, Insular Gyrus","INS_vIa, ventral agranular insula",Insular Cortex,WM Inferior occipito-frontal fascicle R,right anterior insula (RH_aINS),34,18,-8,L,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","MFG_A46, area 46",Frontal Pole,,left frontal pole (LH_FP),-30,58,16,1
2,0,2000,,5.4,Open,3,43,10,43,6,,,,,,16.8,2.95,17.39,3.1,,,,103.65,14.46,108.81,10.76,0.01,0.1,6.0,,,,,,1.0,1,aCOMPCor,,1.0,3,1.0,R,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","MFG_A8vl, ventrolateral area 8",Middle Frontal Gyrus,GM Broca's area BA45 R,right dorsolateral prefrontal cortex (RH_dlPFC),44,35,35,L,Limbic Lobe,"CG, Cingulate Gyrus","CG_A23v, ventral area 23","Cingulate Gyrus, posterior division",GM Hippocampus subiculum L,left retrosplenial cortex (LH_RSP),-8,-46,4,1
3,0,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4.0,1,1.0,1.0,1.0,,1.0,,,,,4,2.0,L,Subcortical Nuclei,"Tha, Thalamus","Tha_mPFtha, medial pre-frontal thalamus",Left Thalamus,WM Fornix,Thalamus,-6,-12,9,L,Temporal Lobe,"STG, Superior Temporal Gyrus",STG_TE1.0 and TE1.2,Planum Temporale,GM Secondary somatosensory cortex / Parietal operculum OP4 L,Middle temporal,-60,-15,6,1
4,0,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4.0,1,1.0,1.0,1.0,,1.0,,,,,5,2.0,L,Subcortical Nuclei,"Tha, Thalamus","Tha_mPFtha, medial pre-frontal thalamus",Left Thalamus,WM Fornix,Thalamus,-6,-12,9,L,Temporal Lobe,"STG, Superior Temporal Gyrus","STG_A22c, caudal area 22","Superior Temporal Gyrus, posterior division",GM Secondary somatosensory cortex / Parietal operculum OP1 L,Middle temporal,-63,-27,3,1
5,0,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4.0,1,1.0,1.0,1.0,,1.0,,,,,6,2.0,L,Subcortical Nuclei,"Tha, Thalamus","Tha_mPFtha, medial pre-frontal thalamus",Left Thalamus,WM Fornix,Thalamus,-6,-12,9,L,Parietal Lobe,"PoG, Postcentral Gyrus","PoG_A2, area 2",Postcentral Gyrus,GM Primary somatosensory cortex BA1 L,Postcentral,-51,-24,54,1
6,0,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4.0,1,1.0,1.0,1.0,,1.0,,,,,7,2.0,L,Subcortical Nuclei,"Tha, Thalamus","Tha_mPFtha, medial pre-frontal thalamus",Left Thalamus,WM Fornix,Thalamus,-6,-12,9,R,Frontal Lobe ,"PCL, Paracentral Lobule","PCL_A4ll, area 4, (lower limb region)",Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),GM Premotor cortex BA6 R,Middle cingulum,3,-12,51,1
7,0,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4.0,1,1.0,1.0,1.0,,1.0,,,,,8,2.0,L,Subcortical Nuclei,"Tha, Thalamus","Tha_mPFtha, medial pre-frontal thalamus",Left Thalamus,WM Fornix,Thalamus,-6,-12,9,L,Frontal Lobe ,"PCL, Paracentral Lobule","PCL_A4ll, area 4, (lower limb region)",Precentral Gyrus,GM Premotor cortex BA6 L,Suppl motor area,-6,-18,63,1
8,0,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4.0,1,1.0,1.0,1.0,,1.0,,,,,9,2.0,L,Subcortical Nuclei,"Tha, Thalamus","Tha_mPFtha, medial pre-frontal thalamus",Left Thalamus,WM Fornix,Thalamus,-6,-12,9,R,Parietal Lobe,"PoG, Postcentral Gyrus","PoG_A2, area 2",Postcentral Gyrus,GM Primary somatosensory cortex BA3b R,Postcentral,51,-18,42,1
9,0,ABIDE,ABIDE,ABIDE,ABIDE,ABIDE,602,,565,,,,,,,15.3,6.4,15.5,6.8,,,,106,16,113,12,0.01,0.1,4.0,1,1.0,1.0,1.0,,1.0,,,,,10,2.0,L,Subcortical Nuclei,"Tha, Thalamus","Tha_mPFtha, medial pre-frontal thalamus",Left Thalamus,WM Fornix,Thalamus,-6,-12,9,R,Parietal Lobe,"IPL, Inferior Parietal Lobule","IPL_A40rv, rostroventral area 40(PFop)",Parietal Operculum Cortex,GM Primary auditory cortex TE1.1 R,Insula,36,-27,18,1
